,Unnamed: 0,Translated Spans
44,44.0,"It became incomprehensible why the PCP decided to request the postponement of the vote on base 18, which concerns that matter, for a date after the European elections"
45,45.0,"interest is only one, the maximization of profit, whatever the mechanisms activated to achieve it"
46,46.0,We may then be facing a case of justice
47,47.0,"a case of justice, which has been despised by it, in the taste of the convenience of the private sector"
48,48.0,"in which so far all parties have been silent, the State namely"
49,49.0,"so far all parts have been silent, the state namely"
50,50.0,"In the name of social accountability, this modality of treating the public interest must come to an end"
51,51.0,This modality of treating the public interest must come to an end
52,52.0,It may be that any particularly sophisticated technical-tactic detail is running away
53,53.0,establish a nexus between the two subjects
54,54.0,"It is from the mastery of belief, assuming the PCP that the PS will reformulate its position - in fact, in this advances and setbacks is the full PS"
55,55.0,You are giving arguments for this party to gain time and collecting escapes to accommodate the requirements of the right and the President of the Republic
56,56.0,"not only is it not an imposition, but does not rule out the casuistic analysis of concrete situations"
57,57.0,"It is, first of all, a starting point"
58,58.0,Your departure can and should happen at any time
59,59.0,based on being contrary to the child's superior interest
60,60.0,for its application we propose that the legislation includes some guiding criteria
61,61.0,"Another argument, repeated until exhaustion, is that the law does not need to change"
62,62.0,No need to change the law
63,63.0,by establishing a resident parent and visiting parent
64,64.0,"allows the existence of a speculative element in judicial decisions, making them discretionary"
65,65.0,making them discretionary
66,66.0,"Judicial decision making in civil tutelary proceedings, or even the prosecution's assessments, support themselves in gender stereotypes"
67,67.0,"Judicial decision making in civil tutelary proceedings, or even the prosecution's assessments, support themselves in gender stereotypes (the mother is responsible for taking care, the father is responsible for providing economically)"
68,68.0,"The need to change the legislation is clear in view of the promotion of a more shared parenting, with equal levels of involvement and responsibility"
69,69.0,"clear the need to change the legislation with a view to promoting a more shared parenting, with equal levels of involvement and responsibility"
70,70.0,much has been discussed and reacted on the same
71,71.0,The single residence does not allow this
72,72.0,It cannot be said that by this time there has not been a broad national debate on the matter
73,73.0,"cutting the continued, involved and significant relationship in time with one of the parents"
74,74.0,but nothing is to say about this
75,75.0,"Any of these criminal behaviors, either through strong evidence, or by condemnation, do not fit with a careful parenting"
76,76.0,Try to mix parental conflicts with such criminal behaviors to decentrate the discussion of what is essential to our society
77,77.0,"Try to mix parental conflicts with such criminal behaviors to decentrate the discussion of what is essential to our society: to promote the most egalitarian parental involvement, knowing that such equality is beneficial to children"
78,78.0,"Legislative initiatives in the Assembly of the Republic must take into account, when discussing the specialty, the three pillars that constitute the suggestion of legislative amendment by the APIPDF: legal presumption, normative guidelines and parenting plans"
79,79.0,"They should take into account, when the discussion in the specialty, the three pillars that constitute the suggestion of legislative amendment by the APIPDF: the legal presumption, the normative guidelines and the parental plans"
80,80.0,We are inspired by our children and our daughters
81,81.0,"We do not have any corporate, professional or ideological agenda interests, except to end most parenting conflicts"
82,82.0,that no more children pass what our children and our daughters have passed
83,83.0,We are currently against projects-law in the Assembly of the Republic that aim to establish the alternating residence as a preferential regime
84,84.0,"It is very synthetic to demystify some of the arguments that have come to public, result or ignorance or misinterpretation of the scientific literature, or the absence of reading of the proposals in question or with the objective of maintaining the status quo, seenrepresent particular interests"
85,85.0,It is very synthetic to demystify some of the arguments that have come to public
86,86.0,"The year 2018 was growth, it can even be said of records, for the automotive cluster"
87,87.0,The sector signaled an increase of more than 12% compared to 2017
88,88.0,"The sector signaled an increase of more than 12% compared to 2017, which represents a turnover of 13.7 billion euros"
89,89.0,if they registered historical maximums in the number of vehicles produced
90,90.0,"If they registered historical maximums in the number of vehicles produced - about 295 thousand, and 97% was intended for export - as well as in the component industry - 11.5 billion euros in turnover -"
91,91.0,in the component industry - 11.5 billion euros in turnover
92,92.0,Companies in the sector have a weight of 7.1% in Gross Domestic Product (GDP) and a gross added value of 3.5 billion euros
93,93.0,"More than ever, these companies face scientific, technological and financial challenges"
94,94.0,"These companies face scientific, technological and financial challenges"
95,95.0,have to invest and implement the so -called industry 4.0
96,96.0,"have to invest and implement the so -called Industry 4.0 and cooperate, for example, with the lack of human resources"
97,97.0,Invest and implement the so -called Industry 4.0
98,98.0,"companies still have, at the same time, to effectively respond to the requirements of environmental issues and new concepts of mobility"
99,99.0,effectively respond to the requirements of environmental issues and the new concepts of mobility
100,,The path to a successful and more competitive industry is undoubtedly innovation
101,,"The change of the paradigm dictates that vehicles have to be easier, but also more autonomous - through driving support systems and even not dependent on the driver - more connected - with the sharing of network information between vehicles - and safest"
102,,"Vehicles have to be more environmentally friendly, but also more autonomous - through driving support systems and even not dependent on the driver - more connected - with the sharing of network information between vehicles - and safer"
103,,"The electrification of engines is undoubtedly a theme studied and constantly developing, seeming to be the center of attention when it comes to the future of the automotive industry or mobility"
104,,"All of this implies an added effort in investments for research and development, for testing and, later, for application in the production of components and vehicles"
105,,"an added effort in investments for research and development, for testing and, later, for application in the production of components and vehicles"
106,,"The change of paradigm that lives in the sector is too comprehensive and complex, not running out in the “electric motors”"
107,,"The European Union Science Olympics (Euse), originally imagined by Michael A. Cotter, has a scientific dimension and a political dimension"
108,,has a scientific dimension
109,,It has a scientific dimension and a political dimension: it intends to contact Europeans of 16 years enthusiastic by science
110,,This makes perfect sense
111,,We won all
112,,We all won: best scientists and best Europeans
113,,political dimension
114,,intends to contact Europeans of 16 years enthusiastic by science
115,,Helps Europe to build ties
116,,"Helps Europe to build relevant ties in a context of elections, and urgent in a context of extremism and fake news."
117,,The persistence of the great capitals in the capture of professional football income is growing and maintains the pressure on the intermediate clubs of large countries
118,,stripped of good sports institutions
119,,remain to them the vacuity of the discourses
120,,The nullity of the acts
121,,the coverage of football immediacy in social communication during entire legislatures
122,,The success of professional football does not have to be done from the capture of the associative wealth of the clubs that belongs to its members
123,,Barcelona is the example of the excellence of a club without a profitable purpose and belonging exclusively to its members to obtain professional football
124,,Barcelona is the example of the excellence of a unprofitable club that belongs exclusively to its members to obtain professional football victories thanks to the excellence of the management of successive leaders
125,,Its tactics is now to discard the big European clubs like SLB and FCP
126,,excellence in the management of successive leaders
127,,"The SAD created in Portugal are currently the form of all the adventures and marginalities that have already brought to ruin many national clubs that were flags of their cities, municipalities and regions"
128,,It became criminal that legislatures are passed without any government stir these crucial matters for local authorities and entrepreneurs
129,,Portuguese sport needs a development strategy to be able to defend its interests within the European sports model and not embark on the destruction that starting in football will spread all other modalities by cutting off medium -sized countries access to sports and European success
130,,"the relevance of economic mechanisms, more than sports"
131,,the emergence of superclubes in the image of the largest multinationals
132,,Football needs governments to act in 3 areas
133,,Portugal needs a national strategy to promote your football
134,,It is necessary to develop regulation applied to all clubs and SAD by ensuring compliance with the principles of the Financial Fair-Play created by UEFA and applied by the FPF
135,,Looking at the national whole requires measures to increase the competitiveness of national championships promoting economic conditions that allow clubs and smaller championships to grow sports and approach the first
136,,measures aimed at increasing the competitiveness of national championships promoting economic conditions that allow clubs and smaller championships to grow sports and approach the first
137,,Under current conditions Sporting and Braga will have a growing distance to reach the top
138,,To enhance the results of football you have to take care of the whole sports
139,,Only the politician “with world” has the ability to lead the complexity of sport
140,,Public nominees are unknown
141,,Public appointed are unknown and are destroying the public administration of sports
142,,are destroying the public administration of sport
143,,RECONCEBEBER The all of the sports institutions was a failure of the modernization of the state and that sports most suffered in the hands of the measures that they dream of the privatization of public goods and the merits of sport
144,,It's diverse
145,,"is diverse, complex and popular involving the largest percentage of world sport practitioners through their sports model"
146,,different
147,,involving the largest percentage of world sport practitioners through their sports model
148,,suffers from morbid obesity
149,,Two years ago began to take more care and lose weight
150,,The way to reduce the prevalence of obesity will be a strong bet on measures to adopt healthier lifestyles
151,,Policies for promoting healthy eating
152,,access to health care needed to treat obesity
153,,The 15 pounds it lost are very little compared to the 150 that the balance still records
154,,reduce the prevalence of diseases associated with
155,,better quality of life of the Portuguese
156,,The treatment of obesity is often marked by a strong failure
157,,use of new therapeutic approaches
158,,Need of nutritional therapy in the light of the latest scientific evidence
159,,"This determines the need for more nutritionists, both at the hospital level and at the level of health centers, where early and integrated intervention is made"
160,,the need for more nutritionists
161,,"need for more nutritionists, both at the hospital level"
162,,either at the level of health centers
163,,It is right here that things start to fail
164,,the response capacity of primary health care in this area is decreased
165,,constant lack of nutritionists in the aces [health centers group]
166,,maintaining the failure after the referral to surgery
167,,The Order of Nutritionists has been recurrently to warn of the need for the government to reinforce the presence of these professionals in the NHS
168,,not for a corporate or class
169,,for the health of the Portuguese
170,,she materializes
171,,long years of inadequate diet
172,,Difficulties you encountered to appoint the first hospital consultation and consultations with the various specialties that make up the multidisciplinary team
173,,There it was able to be operated
174,,The rose found another difficulty: having access to a nutrition consultation
175,,In the hospital the nutrition consultation has no vacancy anytime soon
176,,sedentary way of life
177,,at the Health Center Nutritionists are also insufficient
178,,The state will not want to put more wood in the fire exerting preference rights that give rise to increased prices in the most central areas of cities
179,,This production of public housing will be bound to the areas of the national territory where there is no urban pressure
180,,Acquisitions in places where few want to live
181,,"From a practical point of view, the current situation is absurd"
182,,The current situation is absurd
183,,The State makes its accounts and assigns a certain value to the property
184,,This measure will slow down the sales market
185,,The State may acquire real estate at non -speculative prices in central areas of cities
186,,Being the investment in public housing advised by the EU
187,,owners will no longer consider buying and selling as an option to get high income
188,,investment in public housing advised against by the EU
189,,We have no doubt that this measure will not be implemented without controversy
190,,This measure will not be implemented without controversy
191,,Associations of large owners and societies of lawyers dedicated to the purchase and sale of real estate will scream for their unconstitutionality
192,,"Associations of large owners and law firm by the purchase and sale of real estate will scream for their unconstitutionality and try to declare themselves spokesman for all owners, the majority of the population"
193,,"will try to declare themselves a spokesman for all owners, most of the population"
194,,"Perhaps it is interesting to put in this extent a safeguard clause allowing not to apply the right of preference for the equity value to properties that are sold once in ten years, differentiating them from those who are successively transacted"
195,,For whom the market and competition solve everything
196,,There is a disturbing inability to think the problem of housing outside the current legislative framework
197,,not even making the effort to realize that many of the proposals rehearsed and seen as radicals shake good answers in other countries
198,,not reimbursed by its structural funds or cohesion
199,,This investment will have to be made exclusively from the state
200,,If this operation is intended for new construction
201,,We will be drawing new urban territories from scratch
202,,problems that are associated with them
203,,"in many cases, with high infrastructural costs"
204,,If this operation is intended for the rehabilitation of fireworks
205,,will have to operate mainly for the purchase of private heritage
206,,Keeping everything as it is
207,,The PSD has performed covert with the CDS in recent European and in the last legislatures
208,,We have no right measure for strict comparisons
209,,polls are contingent photographs of a moment
210,,Let's identify senses
211,,We do not glimpse a recovery from the PSD
212,,The intervals of variation still allow several readings
213,,Signs are not good for Rui Rio
214,,A PSD to ten points of the PS shows that it reversed and widened the 2015 disadvantage
215,,"These results also show, essentially, the resistance of our party system"
216,,dispersion of votes by many nominations without expression
217,,The great unknown is abstention
218,,Always very difficult to measure
219,,"The difference makes a lot of difference, in politics"
220,,Who wins by little is capable of little
221,,"In the legislatures, there was not even “little”"
222,,Lost
223,,Many vatcitic his failure
224,,manages to reach the end of the legislature with a minority government
225,,It's not little
226,,It will not be a big change
227,,being different elections
228,,"different elections, with levels of disparate participation"
229,,The trends seem clear
230,,Maybe it's not a good idea that the PSD and CDS have embarked on the rhetoric that it is governance that is concerned
231,,Perhaps it is a good idea that António Costa was crossing the campaign with his executive
232,,Who is in power usually suffers in the elections for the European Parliament
233,,The temptation by the yellow card is common
234,,public accounts in order and some economic growth
235,,The results of this poll show that the will to change is null
236,,"Today, we concern ourselves with the resurgence of authoritarian leaders, and the erosion of the factual base of the “truth” that serves as a minimum denominator common to a rational discussion in public space and prevents the misleading manipulation of affections through fake news"
237,,"The investment deficit and even symbolic prestige of the set of disciplines to which we traditionally call the humanities is a process that has decades, and has made its way silently and relatively peaceful"
238,,It is perhaps impossible to trace a direct causal relationship between them
239,,It does not seem to me to conjecture that it is in the humanities and the critical social sciences part of the key to an informed citizenship exercise
240,,is in humanities and critical social sciences part of the key to an informed citizenship exercise
241,,precisely because they provide these means and have traditionally detained this symbolic force
242,,These disciplines come to the fire line of those who want to curtail free thinking as a way to silence political alternatives
243,,None of this is surprising
244,,civilizational achievements are fragile and subject to possible setbacks
245,,the contingent connection between democracy and liberalism can be dismantled at any time
246,,Authoritarian leaders today are elected with unliberal projects
247,,The anti-intellectualism of right-wing populists is well known
248,,The democratic setback does not always happen all at once
249,,Often it is installed in an insidious way
250,,Install-insidiosity
251,,"A concession is accepted here, there is a freedom there"
252,,"When we realize, it's too late"
253,,"The attack on philosophy, sociology and education in general has indignant the academic community around the world (including in Portugal)"
254,,"He concerns each of us, at the gym and out of it"
255,,"The preservation of science and humanities, their teaching and research that is done in them is a threshold that separates an educated, worthy and knowledgeable civilization of its past, a normalized society where the knowledge that can be uncomfortable for power is suppressed by power"
256,,"Do not let the civilizational setback be installed;to stop him, before he stops us"
257,,"It would be easy, but wrong, seeing this threat an isolated case"
258,,This attack on education and science began with Bolsonaro's announcement in late April
259,,This attack on education and science began with Bolsonaro's announcement in late April that his government considered to radically cut the investment in the areas of philosophy and sociology with the economic pretext that they do not allegedly generate “immediate return to the taxpayer”
260,,"Environmental catastrophe created by billions of human beings who eat more than they need, destroying the planet and their weak health"
261,,The best way to deal with the problem of climate change was to pay more attention to how we feed
262,,"In Portugal, an adult man eats an average of 2347 kcal"
263,,"From a physiological point of view, a sedentary adult man needs an average of 2197 kcal to have a healthy and productive life"
264,,Every year we consume millions of calories too much and without need
265,,"Which we ended up turning into several more kilograms, usually around the abdomen and hips"
266,,"Energy consumed unnecessarily, accumulated in adipose tissue that kills us and deregulates metabolically and, in turn, makes the transport of each of us environmentally demanding and destructive of the planet"
267,,makes the transport of each of us environmentally demanding and destructive of the planet
268,,1/3 of lost food production along the food chain
269,,"Energy and water expenditure used to produce food (in particular meat), to pack almost everything and to transport long distances"
270,,Excessive consumption of energy from food and wrong choices at the table make food consumption the largest responsible for climate change imputed to human action
271,,food consumption the largest responsible for climate change imputed to human action
272,,"In Portugal, the national food strategy carried out in recent years by DGS has begun to pay attention to this problem"
273,,The national food strategy carried out in recent years by DGS has begun to pay attention to this problem
274,,Identifying the Mediterranean diet as a standard of reference to promote
275,,identifying and making known more sustainable eating patterns
276,,identifying and making known more sustainable eating patterns such as vegetarian diets
277,,"Result of this excessive accumulation of fat, other chronic diseases appear or aggravate as certain cancers, cardiovascular, osteoarticular and diabetes that already represent, more than 2/3 of NHS spending already"
278,,warning of the risk of excessive meat or plastic consumption in human food
279,,the accelerated speed of climate change
280,,accelerated speed of climate change
281,,"We need to go further and faster in food -based environmental measures, without commitments to the widespread indifference of the majority of the population and political class"
282,,These actions imply substantial changes in the way we relate to our food tradition
283,,It still costs us more
284,,It still costs us more because it knocks on the door of the most fragile
285,,It still costs us more
286,,knocks on the door of the most fragile
287,,The groups of the Portuguese population with a lower level of education have higher prevalence of obesity (39.4%)
288,,"Africa, according to recent United Nations, is the continent where more than half of the population is under 25"
289,,a continuous and manifest inability to our lethargics economies
290,,continuous and manifests inability to our lethargics economies
291,,there has been an immeasurable amount of labor and potential consumers
292,,stabbing the gear of progress in the urgent and necessary to give vent to such demand
293,,The medium and circumstances can help compress or broaden the horizons of your dreams and the possibilities for your realization
294,,Never factor can constitute a barrier to hinder the building of thought
295,,Most of these masters (dis) govern their states as if it was told if they were
296,,"Most of these masters (dis) govern their states as if it was a coutado, institutionalizing nepotism and corruption"
297,,institutionalizing nepotism and corruption
298,,"Institutionalizing nepotism and corruption where, often, they are organized in a ruinous cleptocracy that, without pejo, is phrasing the treasury, digging the asymmetries among the few who have everything and the many that manyThey have nothing"
299,,"are presenting organized in a ruinous cleptocracy that, without pejo, is to make the beautiful pleasure the treasury"
300,,digging by the asymmetries among the few who have everything and the many who have nothing
301,,"To legitimize this collective impoverishment, from time to time, they organize with all pomp a simulacrum of elections validated by a puppet judicial power, with the complicity of the political West"
302,,"all governed, in the theoretical level, by laws"
303,,"governed, in the theoretical level, by laws"
304,,"In the case of Guinea-Bissau, we can categorically state that it is not"
305,,There is no separation of powers
306,,The Constitution of the Republic is violated times without account
307,,justice is limited to being very strong with the weak and completely powerless with the strong
308,,The sieve of the law is just for some
309,,The role of the African Union has been confrained
310,,"It is limited to being changed and silent, passing to the world the idea that we are a continent of shameless, indifferent and shaped people"
311,,Maybe we are
312,,not all
313,,"In 2017 alone, Europe disbursed 75.7 billion euros in aid, equivalent to 57% of world aid"
314,,"Europe disbursed 75.7 billion euros in aid, equivalent to 57% of world aid"
315,,"If we analyze the practical results of this help, except very rare exceptions, we realized, without surprises, that were euros launched to Roto bag"
316,,"Saved very rare exceptions, we found, without surprises, that were euros thrown to Roto bag"
317,,Development aid continues a failure
318,,"Without solid institutions, there is no justice"
319,,There is corruption
320,,Other crimes
321,,There is no respect for human rights
322,,No business conducive to business
323,,There is no socioeconomic development
324,,There is poverty
325,,crime
326,,death
327,,wars
328,,There is no peace
329,,"subject, which is wide and complex"
330,,wide and complex
331,,therefore requiring a serious and brave approach
332,,"imports us as Africans, and part implicated in this problem, weaving some considerations and proposing solutions"
333,,"It matters to us as Africans, and part implicated in this problem, weaving some considerations and proposing solutions that can help mitigate this phenomenon that has greatly revolved us the bowels"
334,,We will only stop trying this crossing if they electrify the sea
335,,No one can handle so many abuse and so much misery
336,,The world takes many turns
337,,Europe is prosperous and lives in peace
338,,the border between populism and totalitarianism is fresh
339,,"Let us not admire, however, if the inverse of the march is verified and if the Europeans are looking for refuge"
340,,"Let us not admire, however, if the inverse of the march is verified and if the Europeans are looking for refuge on another side"
341,,"Creators and projects such as Marlene Monteiro Freitas, Prague Theater, Flying suitcase, Pedro Gil, Circoland, João Paulo Santos, but also Olga Roriz, Paulo Ribeiro and myself, just to quote some, there found their presentation space and so manytimes, rehearsal"
342,,"Also unavoidable international creators such as Pina Bausch, Sasha Waltz, Joseph Nadj, Meg Stuart or Bill T. Jones performed there"
343,,"International work on the border of experimentation, such as the extraordinary (m), project by Marlene Monteiro Freitas in collaboration with Trajal Harell, François Chaignaud and Cecila Bengolea (Alkantara festival poster), were still programmed or welcomed by"
344,,presented after its exit
345,,"Mega Ferreira was forced to resize the music party for the music days as well as to host the Berardo collection, ending an exhibition center with an excellence path"
346,,Mega Ferreira was forced to resize the music party for the music days
347,,Welcome the Berardo Collection
348,,ending an exhibition center with an excellence path
349,,left the reference curators on the way
350,,"The CCB met, between 2006 and 2012, temporarily, its way"
351,,I subscribe to some of the opinions of Augusto M. Seabra in his article
352,,"Regarding the performance of António Mega Ferreira, I cannot agree"
353,,"The story can even, but it should not be rewritten"
354,,an uncertainty of your role
355,,INDEFINITION OF YOUR ROLE
356,,It is the first obligation of those who have a factual testimony to express themselves so that this does not happen
357,,"In this context, and no matter how good the profile of the administrator/artistic director, it will always have many limitations"
358,,"The CCB in the time of Mega Ferreira co-produced and programmed much of the dance and much of the theater of a new generation that was affirmed, at a time when very few opportunities existed, while maintaining essential projects"
359,,New Organic Laws of the ICNF (Institute for Conservation of Nature and Forests) and Anepc (National Emergency and Civil Protection Authority)
360,,The incorporation of scientific knowledge
361,,"The incorporation of scientific knowledge, the bet on new forms of active forest management, adding scale and tax incentives, the valorization of ecosystem services, the registration, the growing number of controlled fire actions, the “safe village” programs and “Safe people ”are good examples that underlie the choice of the right path"
362,,The bet on new forms of active forest management
363,,the appreciation of ecosystem services
364,,the registration
365,,The growing number of controlled fire actions
366,,The programs “Segura Aldeia” and “Safe People”
367,,non -instantaneous
368,,We should not have illusions
369,,"we must resist the temptation to make a metric evaluation of the civil protection system, the respective means and resources"
370,,"We must resist the temptation to make a metric evaluation of the civil protection system, their means and resources, the easy extrapolation of the hypothetical existence of windows of opportunity"
371,,"We must resist the temptation to make a metric assessment of the civil protection system, their means and resources, the easy extrapolation of the hypothetical existence of opportunity windows, in a kind of video rear from rural fires"
372,,the easy extrapolation of the hypothetical existence of windows of opportunity
373,,"The action of the observatory, assumed as a technical and independent, created in Parliament, cannot be understood as the system VAR"
374,,"Observatory, assumed as a technical and independent, created in Parliament, cannot be understood as the system VAR"
375,,Your attributions are clear
376,,"their initiatives must correspond, firsthand, to the need and will expressed by the deputies"
377,,"their initiatives must correspond, firsthand, to the need and will expressed by the deputies in this specialized support"
378,,"should always have as its first recipient the Assembly of the Republic, particularly the deputies who accompany these matters"
379,,"If not, we are giving credit those who think it is necessary to mark quotes in both words that designate and consider it as a spokesman for any political party"
380,,What should import us is the continuous improvement of the system
381,,make it become increasingly learned
382,,most resilient
383,,better prepared for the higher range of events to which it is potentially subject
384,,These changes take your time
385,,demand from everyone a mobilization and an unprecedented commitment
386,,"Portugal summons us all, without exception"
387,,There is no Portugal B
388,,Priorities are being changed
389,,Revitalize the interior
390,,"relate, intensely and in -depth, prevention and combat"
391,,"The constitution, without precedent, of teams of forest sappers"
392,,"The appreciation, also in the social aspect, of volunteer firefighters"
393,,The creation of AgIF (Agency for Integrated Rural Fire Management)
394,,Our business model has to evolve
395,,Those who do not want to take risks should stop consuming tobacco or nicotine products
396,,"If we consider the prevalence of many millions of smokers around the world, it makes perfect sense to have alternatives with the potential to reduce harmfulness"
397,,the rapid transformation of reality and the business contexts in which we live
398,,the prevalence of many millions of smokers worldwide
399,,It makes perfect sense to have alternatives with the potential to reduce harmfulness
400,,there are a number of independent scientific entities that confirm that the main problem is in combustion
401,,The main problem is in combustion
402,,put organizations the need to adapt
403,,Many can think
404,,"taking care of oceans and maritime and water resources is a responsibility of everyone, including companies"
405,,"The activity we dedicate uses, like many others, water in manufacturing the products we sell, although to less than other industries"
406,,This does not mean that our role in protecting water resources is lower
407,,"It does not mean, however, that our role in protecting water resources is less"
408,,"If there is certainly hope in the future, this feeling is also accompanied by much uncertainty and a global meaning of urgency"
409,,A responsible attitude towards sustainable use of water is not reduced to measures based on savings
410,,There is certainly hope in the future
411,,"use of water in a sustainable way, also taking into account the local watershed and the needs of the surrounding community, without compromising operational excellence"
412,,This feeling is also accompanied by much uncertainty and a global sense of urgency
413,,Not forgetting the protection of the sea and the oceans
414,,also sensitizing the general public and users of our products in particular of the role and responsibility we all have through the sharing of good environmental practices and a joint action in this field
415,,highlighting the importance of the role they can play in protecting the oceans by discarding filters in appropriate collection sites
416,,"Seeking environmental certification is therefore a goal that goes beyond the willingness to recognize, and it is actually a responsibility"
417,,Actually a responsibility
418,,such a valuable and important goal as any other quality certification regarding the product marketed concerns
419,,"to change society's expectations in the face of companies, while also responsible for the sustainable development of the environment in which we live"
420,,assume the planet and natural resources as integral parts of our activity
421,,"assume the planet and natural resources as integral parts of our activity, adjusting it to its protection in the present and eye put in the future"
422,,adjusting it to its protection in the present and with eyes in the future
423,,It's no secret that cigarettes are bad
424,,if we want a company whose main activity is based on the production and marketing of tobacco products to have the highest positive impact possible
425,,It is not allowed to campaign in the 24 hours prior to the opening of the polls
426,,Campaigns continue to be organized in Portugal within the same logic that were more than forty years ago when democracy was established in Portugal
427,,They roam the country - at an absurd rhythm and multiplying actions for which they hardly arrive the hours of a day - going to places previously chosen by the campaign directions
428,,They are chosen because there is support from the party apparatus or active militant nuclei
429,,"They are, in the background, safe places at the outset"
430,,"It will be practically impossible today to repeat the mythical situation experienced by Mario Soares in 1985, in the campaign of the first lap of the presidential, when he was assaulted in the then Communist Marinha Grande"
431,,Campaign scenarios are not just safe by choosing the place
432,,The electoral caravans themselves evolved in the staging
433,,It is now intended to provide television moments full of human frame and enthusiasm in the candidacy
434,,Nor is the newspapers not allowed to report on applications
435,,groups of youth and militants and supporters surrounding the candidates on the brides
436,,"List heads distribute kisses, squeeze hands, hold hugs and pretend they have conversations with those who find"
437,,are the people who are not there precisely to support the candidate and meet him in person
438,,has little adherence to what is the speed and consequent immediacy of communication today
439,,Voting is guaranteed even before the event begins
440,,contradicts the changes introduced (and well) in the anticipated vote
441,,By a disadvantaged law of reality
442,,By a disadvantaged law of reality it is not allowed to campaign within 24 hours prior to the opening of the polls
443,,a defied law of reality
444,,"We took 15 days - to say, but to see electoral caravans to travel the country"
445,,There is pre-campaign
446,,the enormous disappointment of the latest authority
447,,The communists complained about the referee
448,,The media did not give the candidacy for the attention she deserved
449,,promoted “defamatory campaigns” that harmed the party
450,,of the state of the lawn
451,,The current context is not the same as the Troika times
452,,They know that the problem is much deeper
453,,Another great defeated was the CDS
454,,"Another great defeated was the CDS, whose result ends with the political ambitions of Asunción Cristas, and can undermine its leadership in October"
455,,result ends for the political ambitions of Assunção Cristas
456,,can undermine your leadership in October
457,,"The result is terrible for Rui Rio, as obvious"
458,,"The result is terrible for Rui Rio, as is obvious (to say that “it went up, but little”, compared to 27.7% of the coalition with the CDS in 2014 is the joke of the night)"
459,,"Say that “rose, but little”, compared to 27.7% of the coalition with CDS in 2014 is the night joke"
460,,The PS was more than ten points from the PSD
461,,The result is also terrible for Paulo Rangel
462,,I was convinced that it could be worth more than I laugh in national elections
463,,A lot of people full of willingness to celebrate last night
464,,A result in 22% is too bad to be true
465,,With almost 70% abstention
466,,With almost 70% abstention will always be a bit bass to draw too firm conclusions for legislatures
467,,70% abstention
468,,It will always be a bold bass to draw too firm conclusions for legislatures
469,,a 34% vote does not impress anyone
470,,a 34% vote does not impress anyone (it is two points above the “little little” of 2014)
471,,Everything indicates that the next elections will have close to double the voters this Sunday
472,,António Costa has increasingly ranged joons to marry the carochinha
473,,PAN has just entered the race
